
N: 	 t(n): 	 q(n): 
100	0.145	0.749492
300	0.718	0.420609
600	2.565	0.377536
1000	34.151	1.81322
1500	70.383	1.66253
2100	77.816	0.93835
2800	152.488	1.03469
3600	208.119	0.85448
4500	280.836	0.738067
5500	244.68	0.430521
N: 	 t(n): 	 q(n): 
100	0.148	0.958534
300	0.694	0.509402
600	4.934	0.909948
1000	10.975	0.730126
1500	66.744	1.97543
2100	91.104	1.37651
2800	92.7	0.788136
3600	135.115	0.695089
4500	188.281	0.620007
5500	278.618	0.614259
N: 	 t(n): 	 q(n): 
100	0.171	0.453724
200	0.354	0.238326
300	0.767	0.230646
400	1.315	0.22299
500	1.909	0.207491
600	14.549	1.09926
700	16.688	0.927022
800	32.805	1.39597
900	25.373	0.853463
1000	17.236	0.469764
